id,name_en,name_local,lat,lon,polity,on_map,size_tier,always,capital_variant,capital_of,pop_c1920,pop_c1930,pop_c1940,pop_c1950,pop_ref,pop_ref_year,pop_basis,pop_quality,pop_sources,rationale
kangar,Kangar,كاڠر,6.44,100.2,Malaya (Unfederated Malay States),proposed,small,,capital-province,Perlis,,3000,,6000,3000,1931,contemporary (1931),estimate,my_census1931;my_census1947,"State capital, transferred to Thailand in 1943."
labuan,Labuan,Labuan,5.28,115.25,Straits Settlements,proposed,small,,,,,3000,,6000,3000,1931,contemporary (1931),estimate,uk_colonial,A Straits Settlement off Borneo; the Australian landing of June 1945 and the war-crimes trials afterwards.
tawau,Tawau,Tawau,4.25,117.89,North Borneo,proposed,small,,,,,3000,,6000,3000,1931,contemporary (1931),estimate,uk_colonial,
kolonia,Kolonia (Ponape),ポナペ (Ponape),6.96,158.21,Nan’yō,proposed,small,,capital-province,Ponape District,,,3000,,3000,1940,inferred from 1940,estimate,nanyo_stats,
nauru,Yaren (Nauru),ナウル (Nauru),-0.55,166.92,Nauru,proposed,small,,capital-territory,Nauru,,,3000,,3000,1940,inferred from 1940,estimate,lon_mandates,"Phosphate; occupied in August 1942, bypassed and starved, and most of the islanders deported to Truk."
pingfang,Pingfang,平房 (Heibō),45.61,126.63,Republic of China,proposed,small,,,,,2000,5000,,2000,1930,contemporary (1930),estimate,mk_yearbook,"Unit 731. A village rather than a city, but the site of the biological-warfare programme and its human experiments."
victoriapoint,Victoria Point (Kawthaung),ကော့သောင်း,9.98,98.55,British India,proposed,small,,,,,2000,,4000,2000,1931,contemporary (1931),estimate,bur_census,"The southernmost point of Burma, taken on 15 December 1941 to cut the air-reinforcement route to Singapore."
seria,Seria,Seria,4.61,114.33,Brunei,proposed,small,,,,,2000,,5000,2000,1931,contemporary (1931),estimate,uk_colonial,Brunei’s oilfield.
hollandia,Hollandia (Jayapura),Hollandia,-2.53,140.72,Netherlands East Indies,proposed,small,,,,,2000,,,2000,1930,contemporary (1930),estimate,id_volkstelling,"MacArthur’s landing of 22 April 1944, which leapfrogged the Japanese Eighteenth Army, and afterwards his headquarters."
morotai,Morotai (Daruba),Morotai,2.05,128.32,Netherlands East Indies,proposed,small,,,,,2000,,,2000,1930,contemporary (1930),estimate,id_volkstelling,The September 1944 landing that gave the airfields for the return to the Philippines.
jaluit,Jaluit,ヤルート (Yarūto),5.92,169.64,Nan’yō,proposed,small,,capital-province,Jaluit District,,,2000,,2000,1940,inferred from 1940,estimate,nanyo_stats,The administrative seat of the Marshalls.
yapcolonia,Colonia (Yap),ヤップ (Yappu),9.51,138.13,Nan’yō,proposed,small,,capital-province,Yap District,,,2000,,2000,1940,inferred from 1940,estimate,nanyo_stats,
lae,Lae,Lae,-6.73,146.99,New Guinea,proposed,small,,,,,,2000,,2000,1940,inferred from 1940,estimate,lon_mandates,"Taken in March 1942, the Japanese base on the mainland, and retaken in September 1943."
betio,Betio (Tarawa),タラワ (Tarawa),1.36,172.92,Gilbert Islands,proposed,small,,,,,,2000,,2000,1940,inferred from 1940,estimate,uk_colonial,Already a battle marker; the settlement and the colony’s administrative centre.
broome,Broome,Broome,-17.96,122.24,Australia,proposed,small,,,,,1500,2000,1200,1500,1933,contemporary (1933),estimate,statesmans,"The refugee air route out of Java, and the raid of 3 March 1942 that killed evacuees in the flying boats."
punakha,Punakha,སྤུ་ན་ཁ,27.59,89.88,Bhutan,proposed,small,,capital-territory,Bhutan,,,1000,,1000,1941,inferred from 1941,estimate,statesmans,The winter capital and seat of government of a state the map already draws.
wewak,Wewak,Wewak,-3.55,143.63,New Guinea,proposed,small,,,,,,1000,,1000,1940,inferred from 1940,estimate,lon_mandates,"The Japanese Eighteenth Army’s main base, wrecked from the air in August 1943 and then bypassed."
buin,Buin (Bougainville),Buin,-6.74,155.72,Solomon Islands,proposed,small,,,,,,1000,,1000,1940,inferred from 1940,estimate,uk_colonial,The airfield off which Yamamoto was shot down on 18 April 1943.
kavieng,Kavieng,Kavieng,-2.58,150.8,New Guinea,proposed,small,,,,,,1000,,1000,1940,inferred from 1940,estimate,lon_mandates,"With Rabaul, the northern anchor of the Bismarcks position."
lorengau,Lorengau (Manus),Lorengau,-2.02,147.27,New Guinea,proposed,small,,,,,,1000,,1000,1940,inferred from 1940,estimate,lon_mandates,"The Admiralties, taken in early 1944 and turned into the largest Allied base in the south-west Pacific."
tulagitown,Tulagi,Tulagi,-9.1,160.15,Solomon Islands,proposed,small,,capital-territory,British Solomon Islands,,,1000,,1000,1940,inferred from 1940,estimate,uk_colonial,"The capital of the protectorate, taken in May 1942 and the first objective of the Guadalcanal landings."
daxi,Daikei (Daxi),大溪 (Daikei),24.8806,121.2871,Formosa,on map (browse layer),small,,,,,,,,,,,,,"The camphor and tea town on the Tahan, called 大嵙崁 (Dakekan) until 1920."
tamsui,"Tansui (Danshui, Tamsui)",淡水 (Tansui),25.1719,121.4439,Formosa,on map (browse layer),small,,,,,,,,,,,,,"The treaty port at the Tamsui mouth, silted up and long past its trade."
beipu,Hoppo (Beipu),北埔 (Hoppo),24.6639,121.0681,Formosa,on map (browse layer),small,,,,,,,,,,,,,Site of the Beipu uprising of November 1907.
puli,Hori (Puli),埔里 (Hori),23.9667,120.9667,Formosa,on map (browse layer),small,,,,,,,,,,,,,"The basin town at the centre of the island, and the way up to Musha."
wushe,Musha (Wushe),霧社 (Musha),24.0212,121.1323,Formosa,on map (browse layer),small,,,,,,,,,,,,,Site of the Musha Incident of October 1930. Inside the 蕃地 of Nōkō-gun.
fangliao,Hōryō (Fangliao),枋寮 (Hōryō),22.3656,120.5936,Formosa,on map (browse layer),small,,,,,,,,,,,,,"The southern coast road town, in Chōshū-gun."
checheng,Shajō (Checheng),車城 (Shajō),22.0798,120.7457,Formosa,on map (browse layer),small,,,,,,,,,,,,,"Where the Japanese force landed in 1874, in Kōshun-gun."
mudan,Botansha (Mudan),牡丹社 (Botansha),22.1262,120.7743,Formosa,on map (browse layer),small,,,,,,,,,,,,,Site of the Mudan Incident of 1874. Inside the 蕃地 of Kōshun-gun.
hengchun,Kōshun (Hengchun),恆春 (Kōshun),22.0039,120.7473,Formosa,on map (browse layer),small,,,,,,,,,,,,,"The walled town at the southern tip, seat of Kōshun-gun."
chamdo,Chamdo (Qamdo),,31.143,97.17,Tibet,on map (browse layer),small,,,,,,,,,,,,,"The seat of the Tibetan governor of Kham and the garrison town on the road to Szechwan — the eastern end of what Lhasa administered, and the frontier the Republic disputed."
nagchuka,"Nagchuka (Nagqu, Naqu)",,31.476,92.051,Tibet,on map (browse layer),small,,,,,,,,,,,,,"The staging post on the northern plain where the caravan road from Sining comes down to Lhasa, and where Tibet met the Mongol and Chinese trade."
rudok,Rudok (Rutog),,33.38,79.732,Tibet,on map (browse layer),small,,,,,,,,,,,,,"A fort and salt-trading centre in the far north-west, on the caravan route over to Ladakh and Sinkiang."
gartok,Gartok (Gar),,31.728,80.337,Tibet,on map (browse layer),small,,,,,,,,,,,,,"One of the three marts opened to British trade by the 1904 convention, and the western Tibetan government post — a tent encampment for most of the year rather than a town."
bovendigoel,Boven Digoel (Tanah Merah),,-6.09,140.3,Netherlands East Indies,proposed,small,,,,,,,,,,,,,
sarmi,Sarmi,,-1.87,138.75,Netherlands East Indies,proposed,small,,,,,,,,,,,,,
babo,Babo,,-2.55,133.44,Netherlands East Indies,proposed,small,,,,,,,,,,,,,
sorong,Sorong,,-0.88,131.25,Netherlands East Indies,proposed,small,,,,,,,,,,,,,
merauke,Merauke,,-8.49,140.4,Netherlands East Indies,proposed,small,,,,,,,,,,,,,
kepi,Kepi,,-6.54,139.33,Netherlands East Indies,proposed,small,,,,,,,,,,,,,
atambua,Atamboea (Atambua),,-9.11,124.89,Netherlands East Indies,proposed,small,,,,,,,,,,,,,
ocussi,Ocussi (Pante Macassar),,-9.2,124.37,Portuguese Timor,proposed,small,,,,,,,,,,,,,
mataram,Mataram (Ampenan),,-8.58,116.12,Netherlands East Indies,proposed,small,,,,,,,,,,,,,
bima,Bima,,-8.46,118.72,Netherlands East Indies,proposed,small,,,,,,,,,,,,,
sumbawabesar,Sumbawa Besar,,-8.49,117.42,Netherlands East Indies,proposed,small,,,,,,,,,,,,,
ende,Ende,,-8.84,121.66,Netherlands East Indies,proposed,small,,,,,,,,,,,,,
larantuka,Larantuka,,-8.34,123.0,Netherlands East Indies,proposed,small,,,,,,,,,,,,,
waingapu,Waingapu,,-9.66,120.26,Netherlands East Indies,proposed,small,,,,,,,,,,,,,
portmoresbytown,Port Moresby,,-9.4438,147.1803,Papua,proposed,small,,capital-territory,Papua,,,,,,,,,,
madang,Madang,,-5.2246,145.7966,New Guinea,proposed,small,,,,,,,,,,,,,
salamaua,Salamaua,,-7.0167,147.05,New Guinea,proposed,small,,,,,,,,,,,,,
wau,Wau,,-7.3372,146.7164,New Guinea,proposed,small,,,,,,,,,,,,,
samarai,Samarai,,-10.6167,150.6667,Papua,proposed,small,,,,,,,,,,,,,
daru,Daru,,-9.0763,143.2092,Papua,proposed,small,,,,,,,,,,,,,
gorontalo,Gorontalo,,0.54,123.06,Dutch East Indies,on map,small,,,,,,,,,,,,,North Celebes port and a KNILM stop between Makassar and Menado.
manokwari,Manokwari,,-0.86,134.08,Dutch East Indies,on map,small,,,,,,,,,,,,,On the north coast of Netherlands New Guinea; the eastern end of the KNILM network.
wisselmeren,Wisselmeren (Paniai Lakes),,-3.93,136.38,Dutch East Indies,on map,small,,,,,,,,,,,,,"The lakes in the central highlands of Netherlands New Guinea, reached by air from Babo."
bandaneira,Banda Neira,,-4.53,129.90,Dutch East Indies,on map,small,,,,,,,,,,,,,"The Banda Islands: the nutmeg islands, and a KNILM stop out of Ambon."
darwin,Darwin,,-12.46,130.84,Australia,on map,small,,,,,,,,,,,,,"The northern terminal of the run down from Koepang, and the only Australian point the frame reaches."
allahabad,Allahabad (Prayagraj),,25.44,81.85,British India,on map,medium,,,,,,,,,,,,,On the KLM trunk from Amsterdam: Jodhpur to Allahabad to Calcutta.
